,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,e,16,16,11,11,11,11,11,11,11,11,11,e,16,11,11,11,11,11,8,10,11,11,11,11,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,c,14,14,9,9,9,9,9,9,9,9,9,c,14,9,9,9,9,9,c,14,9,9,9,9,c,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0
21,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,11,11,11,11,11,11,11,11,11,11,11,a,a,0,0,0,0,0,0,0,0,0,0,0
22,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0
23,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0
24,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0
25,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,2,2,a,12,0,0,0,0,0,0,0,0,0,0,0
26,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0
27,c,14,14,11,11,11,11,11,11,11,11,11,c,14,11,11,11,11,11,c,14,11,11,11,11,c,14,11,11,11,11,11,11,11,11,11,11,11,c,14,0,0,0,0,0,0,0,0,0,0,0
28,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,0,0,0,0,0,0,0,0,0,0,0
29,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0
30,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,1a,0
31,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,9,9,0,0,18,0
32,8,10,10,11,11,11,11,11,11,11,11,11,8,10,11,11,11,11,11,8,10,11,11,11,11,8,10,11,11,11,11,11,11,11,11,11,11,11,8,10,11,11,11,11,11,11,11,11,11,18,0
33,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,1c,0
34,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,18,0
35,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,11,11,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,11,11,11,11,1a,0
36,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,1a,0
37,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
