,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
38,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,a,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
61,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
62,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
63,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,18,18,0
64,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,18,18,0
65,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,0
66,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1c,1c,0
67,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1c,1c,0
68,c,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,c,14,14,4,4,4,4,4,4,4,4,4,4,c,c,14,14,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,c,c,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1c,1c,0
69,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,18,0
70,8,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,10,11,11,11,11,11,11,11,11,11,11,8,8,10,10,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,0
71,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
72,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
73,a,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,a,12,12,2,2,2,2,2,2,2,2,2,2,a,a,12,12,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,a,a,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1a,1a,0
74,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,9,9,9,9,9,9,9,9,9,8,8,10,10,9,9,9,9,9,9,9,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,e,e,e,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,e,e,e,16,16,6,6,6,6,6,6,6,6,6,6,e,e,16,16,6,6,6,6,6,6,6,e,e,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
