Common Code,Symbol
K27,gal (UK)/h
K28,gal (UK)/s
K30,gal (US liq.)/s
K32,gi (UK)/d
K33,gi (UK)/h
K34,gi (UK)/min
K35,gi (UK)/s
K36,gi (US)/d
K37,gi (US)/h
K38,gi (US)/min
K39,gi (US)/s
K94,qt (UK liq.)/d
K95,qt (UK liq.)/h
K96,qt (UK liq.)/min
K97,qt (UK liq.)/s
K98,qt (US liq.)/d
K99,qt (US liq.)/h
L10,qt (US liq.)/min
L11,qt (US liq.)/s
L44,pk (UK)/d
L45,pk (UK)/h
L46,pk (UK)/min
L47,pk (UK)/s
L48,pk (US dry)/d
L49,pk (US dry)/h
L50,pk (US dry)/min
L51,pk (US dry)/s
L53,pt (UK)/d
L54,pt (UK)/h
L55,pt (UK)/min
L56,pt (UK)/s
L57,pt (US liq.)/d
L58,pt (US liq.)/h
L59,pt (US liq.)/min
L60,pt (US liq.)/s
M12,yd³/d
M13,yd³/h
M15,yd³/min
M16,yd³/s
H60,m³/m³
F92,bar·m³/s
F91,bar·l/s
K87,psi·in³/s
K88,psi·l/s
K89,psi·m³/s
K90,psi·yd³/s
Q29,µg/hg
Q37,
Q38,
Q39,
Q40,
KWN,
KWS,
Q41,
Q42,
KEL,K
CEL,°C
H12,°C/h
F60,°C/bar
E98,°C/K
H13,°C/min
H14,°C/s
F61,K/bar
F10,K/h
F02,K/K
F11,K/min
F12,K/s
N79,K/Pa
J20,°F/K
J21,°F/bar
J26,1/°F
A48,°R
FAH,°F
J23,°F/h
J24,°F/min
J25,°F/s
J28,°R/h
J29,°R/min
J30,°R/s
C91,K⁻¹
M20,1/MK
C64,Pa/K
F81,bar/K
C96,Pa⁻¹
JOU,J
J55,W·s
BTU,BtuIT
A1,cal₁₅
D70,calIT
J39,Btu
J75,cal
K51,kcal
E14,kcalIT
K53,kcalth
N66,Btu (39 ºF) 
N67,Btu (59 ºF)
N68,Btu (60 ºF) 
N69,cal₂₀
N70,quad
N71,thm (EC)
N72,thm (US)
D35,calth
WTT,W
KWT,kW
2I,BtuIT/h
J44,BtuIT/min
J45,BtuIT/s
J47,Btuth/h
J51,Btuth/min
J52,Btuth/s
J81,calth/min
J82,calth/s
E15,kcalth/h
K54,kcalth/min
K55,kcalth/s
D54,W/m²
N48,W/cm²
N49,W/in²
N50,BtuIT/(ft²·h)
N51,Btuth/(ft²·h)
N52,Btuth/(ft²·min) 
N53,BtuIT/(ft²·s)
N54,Btuth/(ft²·s)
N55,BtuIT/(in²·s)
N56,calth/(cm²·min)
N57,calth/(cm²·s)
D53,W/(m·K)
N80,W/(m·°C)
N81,kW/(m·K)
N82,kW/(m·°C)
A22,BtuIT/(s·ft·°R)
D71,calIT/(s·cm·K)
D38,calth/(s·cm·K)
J40,BtuIT·ft/(h·ft²·°F)
J41,BtuIT·in/(h·ft²·°F)
J42,BtuIT·in/(s·ft²·°F)
J46,Btuth·ft/(h·ft²·°F)
J48,Btuth·in/(h·ft²·°F)
J49,Btuth·in/(s·ft²·°F)
J78,calth/(cm·s·°C)
K52,kcal/(m·h·°C)
D55,W/(m²·K)
N78,kW/(m²·K)
D72,calIT/(s·cm²·K)
D39,calth/(s·cm²·K)
A20,BtuIT/(s·ft²·°R)
A23,BtuIT/(h·ft²·°R)
N74,BtuIT/(h·ft²·ºF)
N75,Btuth/(h·ft²·ºF)
N76,BtuIT/(s·ft²·ºF)
N77,Btuth/(s·ft²·ºF) 
D19,m²·K/W
J19,°F·h·ft²/Btuth
J22,°F·h·ft²/BtuIT
J83,clo
L14,m²·h·°C/kcal
B21,K/W
H35,K·m/W
N84,ºF/(BtuIT/h)
N85,ºF/(Btuth/h)
N86,ºF/(BtuIT/s)
N87,ºF/(Btuth/s)
N88,ºF·h·ft²/(BtuIT·in)
N89,ºF·h·ft²/(Btuth·in)
D52,W/K
S4,m²/s
S3,ft²/s
E97,mm/(°C·m)
F53,mm/K
N83,m/(°C·m)
JE,J/K
B41,kJ/K
J43,BtuIT/(lb·°F)
J50,Btuth/(lb·°F)
J76,calIT/(g·°C)
J79,calth/(g·°C)
N60,BtuIT/ºF
N61,Btuth/ºF
N62,BtuIT/ºR
N63,Btuth/ºR
N64,(Btuth/°R)/lb
N65,(kcalIT/K)/g
B11,J/(kg·K)
B43,kJ/(kg·K)
A21,Btu/IT(lb·°R)
D76,calIT/(g·K)
D37,calth/(g·K)
C62,1
JE,J/K
J2,J/kg
D95,J/g
JK,MJ/kg
B42,kJ/kg
AZ,BtuIT/lb
D75,calIT/g
N73,Btuth/lb
B36,calth/g
N58,BtuIT/ft³
N59,Btuth/ft³
Q31,kJ/g
AMP,A
B22,kA
H38,MA
4K,mA
B84,µA
C39,nA
C70,pA
N96,Bi
N97,Gi
COU,C
A8,A·s
H32,A²·s
AMH,A·h
TAH,kA·h
D77,MC
D86,mC
B26,kC
B86,µC
C40,nC
C71,pC
E09,mA·h
N95,A·min
N94,Fr
A29,C/m³
A84,GC/m³
A30,C/mm³
B69,MC/m³
A28,C/cm³
B27,kC/m³
D88,mC/m³
B87,µC/m³
A34,C/m²
B70,MC/m²
A35,C/mm²
A33,C/cm²
B28,kC/m²
D89,mC/m²
B88,µC/m²
D50,V/m
H45,V·s/m
D45,V²/K²
D51,V/mm
H24,V/µs
H62,mV/min
H46,V/s
B79,MV/m
B55,kV/m
D47,V/cm
C30,mV/m
C3,µV/m
G60,V/bar
N98,V/Pa
F87,V/(l·min)
H22,V/(lbf/in²)
H23,V/in
VLT,V
B78,MV
KVT,kV
2Z,mV
D82,µV
N99,pV
FAR,F
H48,aF
C10,mF
4O,µF
C41,nF
4T,pF
N90,kF
A69,F/m
H28,µF/km
H33,F/km
B89,µF/m
C42,nF/m
C72,pF/m
C62,1
C62,1
A26,C·m
A41,A/m²
H31,A/kg
B66,MA/m²
A7,A/mm²
A4,A/cm²
B23,kA/m²
G59,mA/(l·min)
N93,A/Pa
F57,mA/(lbf/in²)
F59,mA/bar
AE,A/m
B24,kA/m
A3,A/mm
A2,A/cm
F76,mA/mm
F08,mA/in
P10,C/m
D33,T
C29,mT
D81,µT
C48,nT
P13,kT
P12,γ
WEB,Wb
C33,mWb
P11,kWb
D59,Wb/m
B56,kWb/m
D60,Wb/mm
81,H
C14,mH
B90,µH
C43,nH
C73,pH
H03,H/kΩ
H04,H/Ω
G98,µH/kΩ
G99,µH/Ω
H05,mH/kΩ
H06,mH/Ω
P24,kH
C62,1
C62,1
A98,H/m
B91,µH/m
C44,nH/m
C62,1
C62,1
A5,A·m²
AE,A/m
B8,J/m³
D54,W/m²
MTS,m/s
OHM,Ω
A87,GΩ
B75,MΩ
H44,TΩ
B49,kΩ
E45,mΩ
B94,µΩ
P22,nΩ
M26,GΩ/m
SIE,S
B53,kS
C27,mS
B99,µS
G42,µS/cm
G43,µS/m
N92,pS
NQ,
NR,
C61,Ω·m
A88,GΩ·m
B76,MΩ·m
H88,MΩ·km
B50,kΩ·m
C60,Ω·cm
C23,mΩ·m
B95,µΩ·m
C46,nΩ·m
M24,Ω·km
P23,Ω·cmil/ft 
F56,Ω/km
H26,Ω/m
H37,MΩ/m
F54,mΩ/m
H36,MΩ/km
F55,Ω/mi
D10,S/m
H43,S/cm
H61,mS/cm
B77,MS/m
B54,kS/m
G45,nS/m
G44,nS/cm
L42,pS/m
C89,H⁻¹
C81,rad
WTT,W
P14,J/s
KWT,kW
MAW,MW
A90,GW
D31,TW
C31,mW
P15,J/min
P16,J/h
P17,J/d
P18,kJ/s
P19,kJ/min
P20,kJ/h
P21,kJ/d
D80,µW
K43,electric hp
C49,nW
C75,pW
D46,V·A
MVA,MV·A
KVA,kV·A
M35,mV·A
D44,var
K5,kvar
KVR,kvar
MAR,kvar
JOU,J
WHR,W·h
N91,1/J
M30,1/(V·A·s)
M17,kHz·m
M18,GHz·m
M27,MHz·m
M21,1/kVAh
H34,Hz·m
H39,MHz·km
HTZ,Hz
C97,s⁻¹
2A,rad/s
MTR,m
A11,Å
C92,m⁻¹
C84,rad/m
MTS,m/s
JOU,J
B8,J/m³
JM,MJ/m³
B14,J/m⁴
WTT,W
B13,J/m²
C97,s⁻¹
D1,s⁻¹/sr
D2,s⁻¹/(sr·m²)
C99,s⁻¹/m²
C93,m⁻²
D54,W/m²
H47,W/m³
H74,W/m
E43,J/cm²
P37,BtuIT/ft²
P38,Btuth/ft²
P39,calth/cm²
P40,Ly
D57,W/sr
D58,W/(sr·m²)
D56,W/(m²·K⁴)
D18,m·K
C62,1
CDL,cd
P33,kcd
P34,mcd
P35,HK
P36,IK
LUM,lm
B62,lm·s
B59,lm·h
A24,cd/m²
P28,cd/in²
P29,ftL
P30,Lb
P31,sb
P32,cd/ft²
B60,lm/m²
LUX,lx
KLX,klx
P25,lm/ft²
P26,ph
P27,ftc
B64,lx·s
B63,lx·h
B61,lm/W
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C92,m⁻¹
D22,m²/mol
MTR,m
C92,m⁻¹
SEC,s
HTZ,Hz
C59,
C97,s⁻¹
2A,rad/s
MTR,m
C92,m⁻¹
C84,rad/m
KMQ,kg/m³
PAL,Pa
BAR,bar
D9,dyn/cm²
MTR,m
MTS,m/s
MSK,m/s²
MQS,m³/s
MTS,m/s
B8,J/m³
A60,erg/cm³
WTT,W
A63,erg/s
D54,W/m²
C32,mW/m²
D85,µW/m²
C76,pW/m²
A64,erg/(s·cm²)
C67,Pa· s/m
A50,dyn·s/cm³
C66,Pa·s/m³
A52,dyn·s/cm⁵
M32,Pa·s/l
C58,N·s/m
A51,dyn·s/cm
2N,dB
P43,B/m
C97,s⁻¹
H51,dB/km
H52,dB/m
C51,Np/s
SEC,s
C50,Np
C92,m⁻¹
C62,1
2N,dB
MTK,m²
SEC,s
C69,
D15,
P42,Pa²·s
P41,dec
C62,1
C62,1
C62,1
C34,mol
B45,kmol
C18,mmol
FH,µmol
P44,lbmol
C95,mol⁻¹
D74,kg/mol
A94,g/mol
A40,m³/mol
A37,dm³/mol
A36,cm³/mol
B58,l/mol
B15,J/mol
B44,kJ/mol
B15,J/mol
C62,1
B15,J/mol
C62,1
B16,J/(mol·K)
C86,m⁻³
H50,cm⁻³
L20,1/mm³
K20,1/ft³
K49,1/in³
K63,1/l
M10,1/yd³
KMQ,kg/m³
C36,mol/m³
C38,mol/l
B35,kg/l or kg/L
C35,mol/dm³
B46,kmol/m³
E95,mol/s
M33,mmol/l
P51,(mol/kg)/Pa
P52,(mol/m³)/Pa
K59,(kmol/m³)/K
K60,(kmol/m³)/bar
K93,1/psi
L24,(mol/kg)/K
L25,(mol/kg)/bar
L26,(mol/l)/K
L27,(mol/l)/bar
L28,(mol/m³)/K
L29,(mol/m³)/bar
C62,1
C19,mol/kg
D93,s/m³
D87,mmol/kg
H68,mmol/g
P47,kmol/kg
P48,lbmol/lb
C62,1
PAL,Pa
C62,1
C62,1
C62,1
C62,1
C62,1
KAT,kat
E94,kmol/s
P45,lbmol/s
P46,lbmol/h
C62,1
KGM,kg
D43,u
A26,C·m
A27,C·m²/V
C62,1
C62,1
JE,J/K
MTR,m
S4,m²/s
C62,1
S4,m²/s
C62,1
COU,C
C62,1
A32,C/mol
D10,S/m
D12,S·m²/mol
K58,kmol/h
K61,kmol/min
L23,mol/h
L30,mol/min
C62,1
C81,rad
C82,rad·m²/mol
C83,rad·m²/kg
P49,N·m²/A
P50,Wb·m
Q30,pH
C62,1
C62,1
C62,1
KGM,kg
D43,u
C62,1
KGM,kg
D43,u
C62,1
C62,1
COU,C
B18,J·s
MTR,m
A11,Å
C92,m⁻¹
JOU,J
A5,A·m²
A10,A·m²/(J·s)
C62,1
C97,s⁻¹
2A,rad/s
MTK,m²
MTR,m
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
SEC,s
JOU,J
A53,eV
C62,1
CUR,Ci
MCU,mCi
M5,µCi
2R,kCi
BQL,Bq
GBQ,GBq
2Q,kBq
4N,MBq
H08,µBq
A42,Ci/kg
A18,Bq/kg
B67,MBq/kg
B25,kBq/kg
A19,Bq/m³
C97,s⁻¹
JOU,J
A53,eV
A57,erg
MTK,m²
A14,b
D24,m²/sr
A17,b/sr
D20,m²/J
A15,b/eV
D16,cm²/erg
D25,m²/(sr·J)
A16,b/(sr·eV)
D17,cm²/(sr·erg)
C92,m⁻¹
C93,m⁻²
B81,m⁻²/s
B13,J/m²
D54,W/m²
A65,erg/(cm²·s)
C92,m⁻¹
D21,m²/kg
D22,m²/mol
MTK,m²
MTK,m²
MTR,m
MTR,m
MTR,m
C62,1
C62,1
C62,1
C62,1
C62,1
MTR,m
B12,J/m
A54,eV/m
A58,erg/cm
D73,J·m²
A55,eV·m²
A66,erg·cm²
B20,J·m²/kg
A56,eV·m²/kg
A67,erg·cm²/g
28,kg/m²
C92,m⁻¹
D26,m²/(V·s)
H58,m/(V·s)
C86,m⁻³
MQS,m³/s
MTS,m/s
S4,m²/s
C98,s⁻¹/m³
C87,m⁻³/s
C62,1
C62,1
C62,1
C62,1
SEC,s
BQL,Bq
CUR,Ci
JOU,J
A95,Gy
C13,mGy
C80,rad
A61,erg/g
D13,Sv
C28,mSv
D91,rem
L31,mrem
A96,Gy/s
A62,erg/g·s
B12,J/m
A54,eV/m
A58,erg/cm
D21,m²/kg
CKG,C/kg
C8,mC/kg
2C,R
2Y,mR
J53,C·m²/kg
KR,kR
A31,C/(kg·s)
D6,R/s
P54,mGy/s
P55,µGy/s
P56,nGy/s
P57,Gy/min
P58,mGy/min
P59,µGy/min
P60,nGy/min
P61,Gy/h
P62,mGy/h
P63,µGy/h
P64,nGy/h
P65,Sv/s
P66,mSv/s
P67,µSv/s
P68,nSv/s
P69,rem/s
P70,Sv/h
P71,mSv/h
P72,µSv/h
P73,nSv/h
P74,Sv/min
P75,mSv/min
P76,µSv/min
P77,nSv/min
P78,1/in²
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
C62,1
MTR,m
A11,Å
C81,rad
DD,°
C62,1
C62,1
SEC,s
WEB,Wb
P53,unit pole 
MTR,m
C62,1
MTR,m
C92,m⁻¹
C85,Å⁻¹
C84,rad/m
C92,m⁻¹
2A,rad/s
C97,s⁻¹
KEL,K
D94,s/(rad·m³)
C62,1
C62,1
C62,1
C90,J⁻¹/m³
C88,eV⁻¹/m³
C61,Ω·m
A38,m³/C
VLT,V
D33,T
D48,V/K
D49,mV/K
JOU,J
A53,eV
A70,fJ
A13,aJ
A6,A/(m²·K²)
C86,m⁻³
KGM,kg
33,kPa·m²/g
P79,Pa/(kg/m²)
34,kPa/mm
H42,Pa/m
H69,pPa/km
P80,mPa/m
P81,kPa/m
P82,hPa/m
P83,Atm/m
P84,at/m
P85,Torr/m
P86,psi/in
35,ml/(cm²·s)
36,ft³/(min/ft²)
P87,(m³/s)/m²
OPM,o/min
KNM,KN/m2
Q35,MW/min